"","BGN_DATE","STATE","EVTYPE","END_DATE","FATALITIES","INJURIES"
"1","4/18/1950 0:00:00","AL","TORNADO","",0,15
"3","2/20/1951 0:00:00","AL","TORNADO","",0,2
"4","6/8/1951 0:00:00","AL","TORNADO","",0,2
"5","11/15/1951 0:00:00","AL","TORNADO","",0,2
"6","11/15/1951 0:00:00","AL","TORNADO","",0,6
"7","11/16/1951 0:00:00","AL","TORNADO","",0,1
"9","2/13/1952 0:00:00","AL","TORNADO","",1,14
"11","2/13/1952 0:00:00","AL","TORNADO","",0,3
"12","2/13/1952 0:00:00","AL","TORNADO","",0,3
"13","2/13/1952 0:00:00","AL","TORNADO","",1,26
"14","2/29/1952 0:00:00","AL","TORNADO","",0,12
"15","3/3/1952 0:00:00","AL","TORNADO","",0,6
"16","3/22/1952 0:00:00","AL","TORNADO","",4,50
"17","4/4/1952 0:00:00","AL","TORNADO","",0,2
"24","1/20/1953 0:00:00","AL","TORNADO","",0,1
"25","1/23/1953 0:00:00","AL","TORNADO","",0,1
"26","2/20/1953 0:00:00","AL","TORNADO","",1,8
"27","2/20/1953 0:00:00","AL","TORNADO","",0,2
"28","2/20/1953 0:00:00","AL","TORNADO","",0,1
"29","2/20/1953 0:00:00","AL","TORNADO","",0,6
"30","3/18/1953 0:00:00","AL","TORNADO","",0,2
"32","4/6/1953 0:00:00","AL","TORNADO","",0,12
"34","4/18/1953 0:00:00","AL","TORNADO","",6,195
"35","5/1/1953 0:00:00","AL","TORNADO","",0,2
"36","5/1/1953 0:00:00","AL","TORNADO","",7,12
"38","5/1/1953 0:00:00","AL","TORNADO","",2,3
"39","5/4/1953 0:00:00","AL","TORNADO","",0,2
"42","12/6/1953 0:00:00","AL","TORNADO","",0,1
"47","4/16/1954 0:00:00","AL","TORNADO","",0,1
"48","12/5/1954 0:00:00","AL","TORNADO","",0,4
"49","12/5/1954 0:00:00","AL","TORNADO","",0,26
"50","12/5/1954 0:00:00","AL","TORNADO","",0,3
"51","12/5/1954 0:00:00","AL","TORNADO","",0,2
"53","3/21/1955 0:00:00","AL","TORNADO","",0,1
"68","4/21/1955 0:00:00","AL","TORNADO","",0,1
"70","4/24/1955 0:00:00","AL","TORNADO","",5,20
"80","10/16/1955 0:00:00","AL","TORNADO","",0,5
"94","4/15/1956 0:00:00","AL","TORNADO","",25,200
"99","5/3/1956 0:00:00","AL","TORNADO","",0,2
"106","12/23/1956 0:00:00","AL","TORNADO","",0,1
"113","3/31/1957 0:00:00","AL","TORNADO","",0,4
"122","4/8/1957 0:00:00","AL","TORNADO","",2,90
"135","6/28/1957 0:00:00","AL","TORNADO","",0,4
"136","6/28/1957 0:00:00","AL","TORNADO","",0,8
"144","6/28/1957 0:00:00","AL","TORNADO","",0,2
"147","6/28/1957 0:00:00","AL","TORNADO","",0,1
"152","11/8/1957 0:00:00","AL","TORNADO","",0,5
"157","11/17/1957 0:00:00","AL","TORNADO","",4,15
"158","11/17/1957 0:00:00","AL","TORNADO","",0,3
"161","11/18/1957 0:00:00","AL","TORNADO","",0,5
"162","11/18/1957 0:00:00","AL","TORNADO","",0,1
"165","11/18/1957 0:00:00","AL","TORNADO","",1,35
"172","11/18/1957 0:00:00","AL","TORNADO","",3,6
"173","11/18/1957 0:00:00","AL","TORNADO","",0,6
"176","12/19/1957 0:00:00","AL","TORNADO","",0,7
"190","4/5/1958 0:00:00","AL","TORNADO","",1,1
"197","4/6/1958 0:00:00","AL","TORNADO","",0,1
"211","5/25/1958 0:00:00","AL","TORNADO","",0,1
"228","5/12/1959 0:00:00","AL","TORNADO","",0,5
"233","7/1/1959 0:00:00","AL","TORNADO","",0,3
"265","9/16/1960 0:00:00","AL","TORNADO","",0,2
"270","2/20/1961 0:00:00","AL","TORNADO","",0,2
"272","2/24/1961 0:00:00","AL","TORNADO","",0,4
"275","3/7/1961 0:00:00","AL","TORNADO","",0,1
"277","3/7/1961 0:00:00","AL","TORNADO","",0,8
"291","3/31/1961 0:00:00","AL","TORNADO","",0,7
"297","4/27/1961 0:00:00","AL","TORNADO","",0,2
"311","12/10/1961 0:00:00","AL","TORNADO","",0,1
"314","12/11/1961 0:00:00","AL","TORNADO","",0,2
"321","12/17/1961 0:00:00","AL","TORNADO","",0,1
"331","3/21/1962 0:00:00","AL","TORNADO","",0,10
"375","3/5/1963 0:00:00","AL","TORNADO","",0,35
"377","3/5/1963 0:00:00","AL","TORNADO","",0,3
"380","3/11/1963 0:00:00","AL","TORNADO","",2,6
"384","3/11/1963 0:00:00","AL","TORNADO","",1,3
"387","3/11/1963 0:00:00","AL","TORNADO","",0,4
"392","3/17/1963 0:00:00","AL","TORNADO","",0,4
"400","4/29/1963 0:00:00","AL","TORNADO","",0,4
"404","4/29/1963 0:00:00","AL","TORNADO","",0,17
"427","1/24/1964 0:00:00","AL","TORNADO","",10,6
"430","3/9/1964 0:00:00","AL","TORNADO","",0,1
"431","3/9/1964 0:00:00","AL","TORNADO","",2,2
"435","3/25/1964 0:00:00","AL","TORNADO","",0,7
"438","4/7/1964 0:00:00","AL","TORNADO","",0,1
"454","4/28/1964 0:00:00","AL","TORNADO","",0,1
"457","4/28/1964 0:00:00","AL","TORNADO","",0,8
"474","10/4/1964 0:00:00","AL","TORNADO","",0,2
"481","12/24/1964 0:00:00","AL","TORNADO","",0,3
"487","2/11/1965 0:00:00","AL","TORNADO","",0,18
"489","3/17/1965 0:00:00","AL","TORNADO","",0,22
"500","4/15/1965 0:00:00","AL","TORNADO","",0,2
"523","9/29/1965 0:00:00","AL","TORNADO","",0,2
"531","3/3/1966 0:00:00","AL","TORNADO","",0,11
"532","3/3/1966 0:00:00","AL","TORNADO","",0,2
"533","3/3/1966 0:00:00","AL","TORNADO","",1,3
"546","11/10/1966 0:00:00","AL","TORNADO","",0,1
"554","3/6/1967 0:00:00","AL","TORNADO","",0,1
"555","3/6/1967 0:00:00","AL","TORNADO","",2,25
"560","3/6/1967 0:00:00","AL","TORNADO","",0,4
"582","5/6/1967 0:00:00","AL","TORNADO","",1,25
"624","10/24/1967 0:00:00","AL","TORNADO","",0,1
"626","10/24/1967 0:00:00","AL","TORNADO","",0,3
"628","10/30/1967 0:00:00","AL","TORNADO","",0,1
"633","11/22/1967 0:00:00","AL","TORNADO","",0,2
"634","11/24/1967 0:00:00","AL","TORNADO","",0,7
"643","12/18/1967 0:00:00","AL","TORNADO","",2,0
"644","12/18/1967 0:00:00","AL","TORNADO","",0,27
"649","12/21/1967 0:00:00","AL","TORNADO","",0,1
"724","11/3/1968 0:00:00","AL","TORNADO","",0,14
"725","11/3/1968 0:00:00","AL","TORNADO","",0,4
"728","11/17/1968 0:00:00","AL","TORNADO","",0,2
"729","11/17/1968 0:00:00","AL","TORNADO","",1,24
"736","12/27/1968 0:00:00","AL","TORNADO","",0,2
"745","4/18/1969 0:00:00","AL","TORNADO","",2,11
"747","4/18/1969 0:00:00","AL","TORNADO","",0,3
"797","12/30/1969 0:00:00","AL","TORNADO","",0,2
"808","3/19/1970 0:00:00","AL","TORNADO","",2,14
"828","4/26/1970 0:00:00","AL","TORNADO","",0,2
"868","2/4/1971 0:00:00","AL","TORNADO","",0,12
"869","2/4/1971 0:00:00","AL","TORNADO","",1,1
"885","2/26/1971 0:00:00","AL","TORNADO","",3,0
"900","3/6/1971 0:00:00","AL","TORNADO","",0,2
"995","12/20/1971 0:00:00","AL","TORNADO","",0,1
"999","1/13/1972 0:00:00","AL","TORNADO","",4,88
"1000","1/13/1972 0:00:00","AL","TORNADO","",0,2
"1039","6/27/1972 0:00:00","AL","TORNADO","",0,2
"1056","12/15/1972 0:00:00","AL","TORNADO","",0,3
"1068","3/16/1973 0:00:00","AL","TORNADO","",0,5
"1084","4/18/1973 0:00:00","AL","TORNADO","",0,14
"1102","5/8/1973 0:00:00","AL","TORNADO","",2,12
"1104","5/8/1973 0:00:00","AL","TORNADO","",0,2
"1119","5/19/1973 0:00:00","AL","TORNADO","",0,10
"1120","5/19/1973 0:00:00","AL","TORNADO","",0,9
"1124","5/19/1973 0:00:00","AL","TORNADO","",0,19
"1137","5/23/1973 0:00:00","AL","TORNADO","",0,4
"1150","5/27/1973 0:00:00","AL","TORNADO","",0,3
"1151","5/27/1973 0:00:00","AL","TORNADO","",0,4
"1154","5/27/1973 0:00:00","AL","TORNADO","",0,3
"1160","5/27/1973 0:00:00","AL","TORNADO","",1,72
"1162","5/27/1973 0:00:00","AL","TORNADO","",1,44
"1167","5/27/1973 0:00:00","AL","TORNADO","",5,47
"1168","5/27/1973 0:00:00","AL","TORNADO","",1,63
"1169","5/27/1973 0:00:00","AL","TORNADO","",0,17
"1216","11/26/1973 0:00:00","AL","TORNADO","",0,5
"1219","11/27/1973 0:00:00","AL","TORNADO","",0,42
"1220","11/27/1973 0:00:00","AL","TORNADO","",0,3
"1226","12/26/1973 0:00:00","AL","TORNADO","",0,1
"1231","12/26/1973 0:00:00","AL","TORNADO","",0,1
"1241","12/29/1973 0:00:00","AL","TORNADO","",0,11
"1245","12/29/1973 0:00:00","AL","TORNADO","",0,1
"1246","12/29/1973 0:00:00","AL","TORNADO","",0,2
"1249","12/30/1973 0:00:00","AL","TORNADO","",0,14
"1256","1/26/1974 0:00:00","AL","TORNADO","",1,7
"1331","4/1/1974 0:00:00","AL","TORNADO","",0,6
"1338","4/1/1974 0:00:00","AL","TORNADO","",0,11
"1339","4/1/1974 0:00:00","AL","TORNADO","",1,6
"1358","4/3/1974 0:00:00","AL","TORNADO","",14,60
"1359","4/3/1974 0:00:00","AL","TORNADO","",0,4
"1360","4/3/1974 0:00:00","AL","TORNADO","",0,5
"1361","4/3/1974 0:00:00","AL","TORNADO","",0,56
"1362","4/3/1974 0:00:00","AL","TORNADO","",0,6
"1363","4/3/1974 0:00:00","AL","TORNADO","",5,41
"1364","4/3/1974 0:00:00","AL","TORNADO","",0,9
"1365","4/3/1974 0:00:00","AL","TORNADO","",2,29
"1366","4/3/1974 0:00:00","AL","TORNADO","",9,110
"1367","4/3/1974 0:00:00","AL","TORNADO","",0,102
"1368","4/3/1974 0:00:00","AL","TORNADO","",11,80
"1370","4/3/1974 0:00:00","AL","TORNADO","",5,110
"1371","4/3/1974 0:00:00","AL","TORNADO","",1,36
"1373","4/3/1974 0:00:00","AL","TORNADO","",23,250
"1374","4/3/1974 0:00:00","AL","TORNADO","",5,22
"1379","4/3/1974 0:00:00","AL","TORNADO","",2,3
"1380","4/3/1974 0:00:00","AL","TORNADO","",0,4
"1432","10/15/1974 0:00:00","AL","TORNADO","",0,1
"1436","12/19/1974 0:00:00","AL","TORNADO","",0,1
"1443","1/10/1975 0:00:00","AL","TORNADO","",0,4
"1449","1/10/1975 0:00:00","AL","TORNADO","",0,14
"1450","1/10/1975 0:00:00","AL","TORNADO","",1,60
"1458","1/10/1975 0:00:00","AL","TORNADO","",0,9
"1460","1/10/1975 0:00:00","AL","TORNADO","",0,1
"1468","2/23/1975 0:00:00","AL","TORNADO","",0,1
"1469","2/23/1975 0:00:00","AL","TORNADO","",1,49
"1520","3/29/1975 0:00:00","AL","TORNADO","",0,3
"1566","11/6/1975 0:00:00","AL","TORNADO","",0,1
"1573","1/13/1976 0:00:00","AL","TORNADO","",0,1
"1582","3/12/1976 0:00:00","AL","TORNADO","",0,2
"1583","3/12/1976 0:00:00","AL","TORNADO","",0,1
"1584","3/12/1976 0:00:00","AL","TORNADO","",0,4
"1585","3/12/1976 0:00:00","AL","TORNADO","",0,15
"1586","3/12/1976 0:00:00","AL","TORNADO","",0,1
"1592","3/20/1976 0:00:00","AL","TORNADO","",0,2
"1594","3/20/1976 0:00:00","AL","TORNADO","",0,1
"1602","3/20/1976 0:00:00","AL","TORNADO","",0,6
"1608","3/20/1976 0:00:00","AL","TORNADO","",0,17
"1610","3/20/1976 0:00:00","AL","TORNADO","",0,11
"1672","2/23/1977 0:00:00","AL","TORNADO","",0,1
"1688","3/29/1977 0:00:00","AL","TORNADO","",0,2
"1690","3/30/1977 0:00:00","AL","TORNADO","",0,2
"1691","3/30/1977 0:00:00","AL","TORNADO","",0,1
"1694","4/4/1977 0:00:00","AL","TORNADO","",0,3
"1696","4/4/1977 0:00:00","AL","TORNADO","",0,1
"1700","4/4/1977 0:00:00","AL","TORNADO","",0,4
"1701","4/4/1977 0:00:00","AL","TORNADO","",1,0
"1704","4/4/1977 0:00:00","AL","TORNADO","",22,130
"1831","4/18/1978 0:00:00","AL","TORNADO","",0,30
"1842","4/18/1978 0:00:00","AL","TORNADO","",0,3
"1849","5/1/1978 0:00:00","AL","TORNADO","",0,4
"1865","5/12/1978 0:00:00","AL","TORNADO","",0,11
"1919","12/8/1978 0:00:00","AL","TORNADO","",0,1
"1948","4/11/1979 0:00:00","AL","TORNADO","",0,1
"1974","5/30/1979 0:00:00","AL","TORNADO","",0,1
"1988","7/11/1979 0:00:00","AL","TORNADO","",0,4
"2001","9/20/1979 0:00:00","AL","TORNADO","",0,2
"2005","11/25/1979 0:00:00","AL","TORNADO","",0,2
"2011","11/25/1979 0:00:00","AL","TORNADO","",0,12
"2012","11/25/1979 0:00:00","AL","TORNADO","",0,20
"2016","11/25/1979 0:00:00","AL","TORNADO","",0,2
"2029","3/8/1980 0:00:00","AL","TORNADO","",0,5
"2039","3/20/1980 0:00:00","AL","TORNADO","",0,6
"2049","4/12/1980 0:00:00","AL","TORNADO","",0,1
"2059","4/13/1980 0:00:00","AL","TORNADO","",0,13
"2091","5/20/1980 0:00:00","AL","TORNADO","",0,1
"2154","2/10/1981 0:00:00","AL","TORNADO","",0,62
"2157","2/10/1981 0:00:00","AL","TORNADO","",0,5
"2201","4/1/1981 0:00:00","AL","TORNADO","",2,23
"2267","1/3/1982 0:00:00","AL","TORNADO","",0,6
"2269","1/3/1982 0:00:00","AL","TORNADO","",0,4
"2270","1/3/1982 0:00:00","AL","TORNADO","",0,6
"2275","1/3/1982 0:00:00","AL","TORNADO","",0,1
"2402","6/28/1982 0:00:00","AL","TORNADO","",0,1
"2439","2/1/1983 0:00:00","AL","TORNADO","",0,1
"2523","5/16/1983 0:00:00","AL","TORNADO","",0,1
"2534","5/19/1983 0:00:00","AL","TORNADO","",0,2
"2535","5/19/1983 0:00:00","AL","TORNADO","",0,3
"2554","6/16/1983 0:00:00","AL","TORNADO","",0,1
"2620","11/15/1983 0:00:00","AL","TORNADO","",0,19
"2621","11/15/1983 0:00:00","AL","TSTM WIND","",1,0
"2629","11/20/1983 0:00:00","AL","TORNADO","",0,1
"2640","11/23/1983 0:00:00","AL","TORNADO","",0,2
"2684","12/3/1983 0:00:00","AL","TORNADO","",2,51
"2698","12/6/1983 0:00:00","AL","TORNADO","",1,19
"2700","12/6/1983 0:00:00","AL","TSTM WIND","",0,2
"2705","12/6/1983 0:00:00","AL","TSTM WIND","",0,2
"2715","12/28/1983 0:00:00","AL","TORNADO","",0,1
"2733","3/5/1984 0:00:00","AL","TORNADO","",0,4
"2734","3/5/1984 0:00:00","AL","TORNADO","",0,14
"2780","4/3/1984 0:00:00","AL","TSTM WIND","",0,1
"2844","5/3/1984 0:00:00","AL","TORNADO","",5,37
"2867","5/3/1984 0:00:00","AL","TSTM WIND","",0,12
"2870","5/3/1984 0:00:00","AL","TORNADO","",0,2
"2886","5/3/1984 0:00:00","AL","TORNADO","",0,1
"2919","5/7/1984 0:00:00","AL","TORNADO","",0,2
"2948","6/21/1984 0:00:00","AL","TSTM WIND","",0,1
"2960","7/7/1984 0:00:00","AL","TSTM WIND","",0,1
"2961","7/7/1984 0:00:00","AL","TSTM WIND","",11,2
"2985","10/21/1984 0:00:00","AL","TSTM WIND","",0,1
"3028","4/5/1985 0:00:00","AL","TSTM WIND","",0,1
"3036","4/5/1985 0:00:00","AL","TSTM WIND","",0,5
"3037","4/5/1985 0:00:00","AL","TSTM WIND","",0,1
"3043","4/5/1985 0:00:00","AL","TORNADO","",0,5
"3052","4/5/1985 0:00:00","AL","TSTM WIND","",0,1
"3054","4/5/1985 0:00:00","AL","TORNADO","",0,1
"3064","4/5/1985 0:00:00","AL","TSTM WIND","",0,1
"3072","4/5/1985 0:00:00","AL","TORNADO","",0,5
"3079","4/5/1985 0:00:00","AL","TSTM WIND","",0,5
"3086","4/5/1985 0:00:00","AL","TSTM WIND","",2,0
"3246","8/16/1985 0:00:00","AL","TORNADO","",1,1
"3247","8/16/1985 0:00:00","AL","TORNADO","",0,5
"3251","8/16/1985 0:00:00","AL","TORNADO","",0,2
"3252","8/16/1985 0:00:00","AL","TORNADO","",0,2
"3262","8/16/1985 0:00:00","AL","TORNADO","",0,6
"3289","9/23/1985 0:00:00","AL","TORNADO","",0,4
"3313","12/1/1985 0:00:00","AL","TSTM WIND","",0,2
"3324","12/1/1985 0:00:00","AL","TSTM WIND","",0,2
"3336","12/31/1985 0:00:00","AL","TSTM WIND","",1,0
"3344","2/4/1986 0:00:00","AL","TSTM WIND","",0,1
"3352","2/17/1986 0:00:00","AL","TSTM WIND","",0,4
"3353","2/17/1986 0:00:00","AL","TSTM WIND","",0,4
"3370","3/12/1986 0:00:00","AL","TORNADO","",2,0
"3381","3/12/1986 0:00:00","AL","TORNADO","",0,5
"3399","3/18/1986 0:00:00","AL","TSTM WIND","",0,2
"3403","5/18/1986 0:00:00","AL","TSTM WIND","",0,2
"3503","7/31/1986 0:00:00","AL","TSTM WIND","",0,1
"3507","8/1/1986 0:00:00","AL","TSTM WIND","",0,2
"3525","8/7/1986 0:00:00","AL","TSTM WIND","",0,1
"3529","8/7/1986 0:00:00","AL","TSTM WIND","",0,1
"3556","8/16/1986 0:00:00","AL","TSTM WIND","",3,1
"3561","8/16/1986 0:00:00","AL","TSTM WIND","",3,1
"3589","11/25/1986 0:00:00","AL","TSTM WIND","",0,2
"3590","11/25/1986 0:00:00","AL","TORNADO","",0,3
"3591","11/25/1986 0:00:00","AL","TORNADO","",0,1
"3595","11/26/1986 0:00:00","AL","TORNADO","",0,2
"3598","11/26/1986 0:00:00","AL","TORNADO","",0,1
"3600","11/26/1986 0:00:00","AL","TORNADO","",0,2
"3605","2/2/1987 0:00:00","AL","TSTM WIND","",0,1
"3642","5/21/1987 0:00:00","AL","TORNADO","",1,0
"3700","7/26/1987 0:00:00","AL","TSTM WIND","",0,1
"3735","12/15/1987 0:00:00","AL","TSTM WIND","",0,1
"3749","12/15/1987 0:00:00","AL","TSTM WIND","",0,2
"3768","1/19/1988 0:00:00","AL","TORNADO","",0,35
"4005","11/4/1988 0:00:00","AL","TORNADO","",0,16
"4033","11/20/1988 0:00:00","AL","TORNADO","",0,8
"4072","3/5/1989 0:00:00","AL","TORNADO","",0,2
"4133","4/4/1989 0:00:00","AL","TSTM WIND","",0,1
"4143","4/4/1989 0:00:00","AL","TSTM WIND","",0,8
"4152","4/4/1989 0:00:00","AL","TSTM WIND","",0,8
"4226","6/5/1989 0:00:00","AL","TSTM WIND","",0,1
"4239","6/8/1989 0:00:00","AL","TORNADO","",0,10
"4352","11/8/1989 0:00:00","AL","TSTM WIND","",0,3
"4364","11/15/1989 0:00:00","AL","TORNADO","",0,3
"4380","11/15/1989 0:00:00","AL","TORNADO","",21,463
"4412","1/25/1990 0:00:00","AL","TORNADO","",0,28
"4418","2/3/1990 0:00:00","AL","TORNADO","",0,3
"4419","2/3/1990 0:00:00","AL","TORNADO","",0,2
"4420","2/3/1990 0:00:00","AL","TORNADO","",0,15
"4424","2/3/1990 0:00:00","AL","TORNADO","",0,11
"4440","2/10/1990 0:00:00","AL","TSTM WIND","",0,7
"4441","2/10/1990 0:00:00","AL","TSTM WIND","",0,11
"4445","2/10/1990 0:00:00","AL","TSTM WIND","",0,3
"4450","2/10/1990 0:00:00","AL","TSTM WIND","",0,5
"4454","2/10/1990 0:00:00","AL","TSTM WIND","",0,22
"4460","2/10/1990 0:00:00","AL","TSTM WIND","",0,26
"4467","2/10/1990 0:00:00","AL","TSTM WIND","",0,1
"4468","2/10/1990 0:00:00","AL","TORNADO","",0,5
"4491","2/16/1990 0:00:00","AL","TSTM WIND","",0,4
"4522","2/22/1990 0:00:00","AL","TORNADO","",0,10
"4525","2/22/1990 0:00:00","AL","TSTM WIND","",0,4
"4531","2/22/1990 0:00:00","AL","TSTM WIND","",0,1
"4534","2/22/1990 0:00:00","AL","TSTM WIND","",0,1
"4637","5/10/1990 0:00:00","AL","TSTM WIND","",0,1
"4716","7/2/1990 0:00:00","AL","TSTM WIND","",0,5
"4755","8/19/1990 0:00:00","AL","TSTM WIND","",0,2
"4775","8/20/1990 0:00:00","AL","TSTM WIND","",0,1
"4809","10/4/1990 0:00:00","AL","TSTM WIND","",0,1
"4812","12/3/1990 0:00:00","AL","TSTM WIND","",0,1
"4889","3/29/1991 0:00:00","AL","TORNADO","",5,13
"4891","3/29/1991 0:00:00","AL","TORNADO","",0,16
"4892","3/29/1991 0:00:00","AL","TSTM WIND","",0,6
"4893","3/29/1991 0:00:00","AL","TSTM WIND","",0,6
"4896","3/29/1991 0:00:00","AL","TSTM WIND","",0,1
"4947","4/14/1991 0:00:00","AL","TORNADO","",0,4
"4952","4/27/1991 0:00:00","AL","TSTM WIND","",0,1
"5019","5/5/1991 0:00:00","AL","TSTM WIND","",0,1
"5020","5/5/1991 0:00:00","AL","TSTM WIND","",0,3
"5049","5/10/1991 0:00:00","AL","TSTM WIND","",0,1
"5107","3/9/1992 0:00:00","AL","TORNADO","",0,1
"5108","3/9/1992 0:00:00","AL","TSTM WIND","",1,1
"5130","3/10/1992 0:00:00","AL","TORNADO","",2,7
"5135","3/10/1992 0:00:00","AL","TSTM WIND","",0,7
"5246","7/5/1992 0:00:00","AL","TSTM WIND","",0,1
"5252","7/5/1992 0:00:00","AL","TSTM WIND","",1,1
"5315","8/27/1992 0:00:00","AL","TORNADO","",0,2
"5318","8/27/1992 0:00:00","AL","TORNADO","",0,1
"5359","11/22/1992 0:00:00","AL","TORNADO","",0,7
"5368","11/22/1992 0:00:00","AL","TORNADO","",0,5
"5371","11/22/1992 0:00:00","AL","TORNADO","",0,8
"5373","11/22/1992 0:00:00","AL","TORNADO","",0,6
"5374","11/22/1992 0:00:00","AL","TORNADO","",0,6
"5375","11/22/1992 0:00:00","AL","TORNADO","",0,1
"5376","11/22/1992 0:00:00","AL","TORNADO","",0,6
"5378","11/22/1992 0:00:00","AL","TORNADO","",0,4
"5380","11/22/1992 0:00:00","AL","TORNADO","",0,5
"5381","11/22/1992 0:00:00","AL","TORNADO","",0,5
"5382","11/22/1992 0:00:00","AL","TSTM WIND","",0,1
"5388","11/24/1992 0:00:00","AL","TORNADO","",0,1
"5439","8/17/1959 0:00:00","AZ","TORNADO","",0,1
"5456","7/27/1961 0:00:00","AZ","TORNADO","",0,1
"5470","9/8/1961 0:00:00","AZ","TORNADO","",0,2
"5500","8/27/1964 0:00:00","AZ","TORNADO","",2,9
"5521","8/9/1966 0:00:00","AZ","TORNADO","",0,9
"5544","7/4/1968 0:00:00","AZ","TORNADO","",0,2
"5548","7/20/1968 0:00:00","AZ","TORNADO","",0,3
"5557","10/3/1968 0:00:00","AZ","TORNADO","",0,3
"5562","8/1/1969 0:00:00","AZ","TORNADO","",0,2
"5595","7/16/1971 0:00:00","AZ","TORNADO","",0,2
"5608","8/30/1971 0:00:00","AZ","TORNADO","",0,41
"5622","6/21/1972 0:00:00","AZ","TORNADO","",0,8
"5624","6/21/1972 0:00:00","AZ","TORNADO","",0,5
"5629","6/21/1972 0:00:00","AZ","TORNADO","",0,3
"5648","9/10/1972 0:00:00","AZ","TORNADO","",0,1
"5649","9/18/1972 0:00:00","AZ","TORNADO","",0,1
"5673","6/23/1974 0:00:00","AZ","TORNADO","",1,40
"5816","3/14/1979 0:00:00","AZ","TORNADO","",0,3
"5992","7/19/1984 0:00:00","AZ","TSTM WIND","",0,1
"6020","7/29/1985 0:00:00","AZ","TSTM WIND","",0,12
"6021","7/29/1985 0:00:00","AZ","TSTM WIND","",0,6
"6022","7/29/1985 0:00:00","AZ","TSTM WIND","",0,6
"6038","5/29/1986 0:00:00","AZ","TSTM WIND","",0,1
"6043","6/25/1986 0:00:00","AZ","TSTM WIND","",0,1
"6115","10/29/1987 0:00:00","AZ","TSTM WIND","",0,4
"6132","7/10/1988 0:00:00","AZ","TSTM WIND","",1,6
"6139","7/28/1988 0:00:00","AZ","TSTM WIND","",0,1
"6140","7/29/1988 0:00:00","AZ","TSTM WIND","",0,1
"6155","8/27/1988 0:00:00","AZ","TSTM WIND","",2,17
"6161","10/14/1988 0:00:00","AZ","HAIL","",0,3
"6163","10/16/1988 0:00:00","AZ","HAIL","",0,1
"6171","7/27/1989 0:00:00","AZ","TSTM WIND","",0,2
"6184","8/17/1989 0:00:00","AZ","TSTM WIND","",0,1
"6192","6/26/1990 0:00:00","AZ","TSTM WIND","",6,0
"6195","7/12/1990 0:00:00","AZ","TSTM WIND","",0,15
"6196","7/12/1990 0:00:00","AZ","TSTM WIND","",0,9
"6270","8/24/1991 0:00:00","AZ","TORNADO","",0,2
"6277","9/4/1991 0:00:00","AZ","TSTM WIND","",0,2
"6303","7/6/1992 0:00:00","AZ","TORNADO","",0,1
"6348","1/13/1950 0:00:00","AR","TORNADO","",1,1
"6351","3/26/1950 0:00:00","AR","TORNADO","",0,3
"6353","3/26/1950 0:00:00","AR","TORNADO","",0,1
"6354","3/26/1950 0:00:00","AR","TORNADO","",0,7
"6355","3/26/1950 0:00:00","AR","TORNADO","",0,20
"6356","3/26/1950 0:00:00","AR","TORNADO","",0,2
"6357","4/2/1950 0:00:00","AR","TORNADO","",1,8
"6359","8/24/1950 0:00:00","AR","TORNADO","",0,7
"6361","2/20/1951 0:00:00","AR","TORNADO","",0,3
"6363","10/23/1951 0:00:00","AR","TORNADO","",0,4
"6366","2/13/1952 0:00:00","AR","TORNADO","",0,5
"6368","3/21/1952 0:00:00","AR","TORNADO","",7,9
"6370","3/21/1952 0:00:00","AR","TORNADO","",50,325
"6371","3/21/1952 0:00:00","AR","TORNADO","",0,6
"6372","3/21/1952 0:00:00","AR","TORNADO","",9,9
"6373","3/21/1952 0:00:00","AR","TORNADO","",2,6
"6374","3/21/1952 0:00:00","AR","TORNADO","",1,5
"6375","3/21/1952 0:00:00","AR","TORNADO","",5,15
"6377","3/21/1952 0:00:00","AR","TORNADO","",29,180
"6378","3/21/1952 0:00:00","AR","TORNADO","",0,6
"6380","3/21/1952 0:00:00","AR","TORNADO","",4,5
"6381","3/21/1952 0:00:00","AR","TORNADO","",2,39
"6382","3/21/1952 0:00:00","AR","TORNADO","",1,5
"6383","3/21/1952 0:00:00","AR","TORNADO","",1,57
"6384","3/21/1952 0:00:00","AR","TORNADO","",1,57
"6392","11/17/1952 0:00:00","AR","TORNADO","",0,2
"6393","1/7/1953 0:00:00","AR","TORNADO","",0,2
"6398","3/14/1953 0:00:00","AR","TORNADO","",0,7
"6404","2/15/1954 0:00:00","AR","TORNADO","",0,24
"6406","2/16/1954 0:00:00","AR","TORNADO","",1,4
"6407","2/19/1954 0:00:00","AR","TORNADO","",0,1
"6410","3/24/1954 0:00:00","AR","TORNADO","",0,4
"6418","4/30/1954 0:00:00","AR","TORNADO","",0,2
"6422","4/30/1954 0:00:00","AR","TORNADO","",0,1
"6431","6/2/1954 0:00:00","AR","TORNADO","",0,1
"6436","8/29/1954 0:00:00","AR","TORNADO","",0,1
"6443","3/20/1955 0:00:00","AR","TORNADO","",0,1
"6462","4/21/1955 0:00:00","AR","TORNADO","",1,2
"6478","5/26/1955 0:00:00","AR","TORNADO","",0,3
"6482","5/26/1955 0:00:00","AR","TORNADO","",0,7
"6491","10/28/1955 0:00:00","AR","TORNADO","",0,1
"6492","11/2/1955 0:00:00","AR","TORNADO","",0,5
"6494","11/15/1955 0:00:00","AR","TORNADO","",0,1
